id,midden,midden.S,tree,lat,long,serotiny,dbh,distance,direction,cones.sampled,length,width,width.scale,count.seeds,mass.cone,mass.seed,mass.ratio,count.before,count.after,predation,jdate.cone,ns.season
2.08.15,8,0.25,15,41.06.646,106.08.545,S,15.6,35,W,3,38.29333333,24.87666667,5.235555556,12,5.244933333,0.02892,0.005679828,27,20,0.259259259,250,NA
2.08.16,8,0.25,16,41.06.647,106.08.545,S,20.1,38,W,3,35.18666667,20.39,4.256111111,8,2.993333333,0.01866,0.006218201,11,11,0,250,NA
2.08.18,8,0.25,18,41.06.654,106.08.542,NS,27.4,40,NW,1,35.41,23.2,4.246666667,22,4.2143,0.07304,0.017331467,28,24,0.142857143,250,spring
2.08.20,8,0.25,20,41.06.651,106.08.527,NS,18.2,20,NW,3,39.24666667,25.17,5.572222222,35.66666667,5.199666667,0.123566667,0.02390705,10,4,0.6,250,spring
2.09.01,9,0.25,1,41.06.843,106.08.460,NS,17.8,26,NE,3,40.75333333,25.93333333,5.393888889,34.66666667,5.547666667,0.127413333,0.022867023,4,4,0,256,spring
2.09.03,9,0.25,3,41.06.836,106.08.448,S,15.3,37,E,3,28.51333333,21.16333333,3.43,21,3.216566667,0.04048,0.012687654,16,15,0.0625,256,NA
2.09.04,9,0.25,4,41.06.834,106.08.451,NS,17.2,32,E,3,37.49,21.92333333,4.675,25.66666667,4.921133333,0.09578,0.019307338,14,13,0.071428571,256,spring
2.09.08,9,0.25,8,41.06.821,106.08.462,S,16.6,27,S,3,41.40333333,25.43,5.488333333,22.33333333,5.873533333,0.08524,0.014784945,17,4,0.764705882,256,NA
2.09.09,9,0.25,9,41.06.814,106.08.466,NS,21.3,35,S,3,38.57666667,22.79333333,4.870555556,32.66666667,5.148566667,0.090293333,0.01698069,8,6,0.25,256,spring
2.09.10,9,0.25,10,41.06.813,106.08.471,S,20.4,38,S,3,30.38333333,17.74666667,2.7409,3.333333333,3.826666667,0.00886,0.002906037,17,15,0.117647059,256,NA
2.09.11,9,0.25,11,41.06.818,106.08.474,NS,15.6,33,S,1,33.74,26.13,4.4336,30,6.473333333,0.1254,0.028284013,18,7,0.611111111,256,spring
2.09.12,9,0.25,12,41.06.816,106.08.478,S,18.2,35,S,3,41.79333333,26.27,5.6933,15,6.343333333,0.05268,0.009200547,7,5,0.285714286,256,NA
